"sona_id","age","gender","condition","stimulus","type","validity","believability","conflict","qnum","total_qnum","response","correct","rt","logRT","feelingR","rt_for","trial_num","statementEval"
"63873",18,"Female","Standard","<p>All vehicles need fuel.</p><p>Bicycles do not need fuel.</p>","MT","Valid","Unbelievable","Conflict","8",125,"No","false",5001.89999997616,8.51757311922976,99,3433.70000004768,1,2
"63873",18,"Female","Standard","<p>All dogs have snouts.</p><p>Labradors are dogs.</p>","MP","Valid","Believable","No-conflict","3",17,"Yes","true",4926.89999997616,8.50246526600679,100,2469.39999997616,2,8
"63873",18,"Female","Standard","<p>All humans have skin.</p><p>Newborns have skin.</p>","AC","Invalid","Believable","Conflict","8",49,"Yes","false",208.100000023842,5.33801873351416,100,4133.39999997616,3,10
"63873",18,"Female","Standard","<p>All birds have feathers.</p><p>Parrots are birds.</p>","MP","Valid","Believable","No-conflict","7",7,"Yes","true",1751.20000004768,7.46805654623588,100,2200.10000002384,4,9
"63873",18,"Female","Standard","<p>All things that are smoked are bad for your health.</p><p>Salad is not smoked.</p>","DA","Invalid","Believable","Conflict","3",105,"Yes","false",4714.69999992847,8.4584405663049,99,2325.10000002384,5,9
"63873",18,"Female","Standard","<p>All metals are solid.</p><p>Mercury is not solid.</p>","MT","Valid","Unbelievable","Conflict","2",73,"Yes","true",2476.40000009537,7.81456117168359,100,2192.20000004768,6,7
"63873",18,"Female","Standard","<p>All trees will become tall.</p><p>Bonsai are trees.</p>","MP","Valid","Unbelievable","Conflict","3",120,"Yes","true",1432.90000009537,7.26745564178911,100,2411.39999997616,7,9
"63873",18,"Female","Standard","<p>All birds can fly.</p><p>Planes are not birds.</p>","DA","Invalid","Unbelievable","No-conflict","4",6,"No","true",8750.19999992847,9.07683183622512,100,1882.69999992847,8,0
"63873",18,"Female","Standard","<p>All lemons are citruses.</p><p>Oranges are citruses.</p>","AC","Invalid","Unbelievable","No-conflict","6",60,"No","true",1934,7.56734567601324,100,2676.70000004768,9,0
"63873",18,"Female","Standard","<p>All glass objects are fragile.</p><p>Sofas are not fragile.</p>","MT","Valid","Believable","No-conflict","8",35,"Yes","true",1719.09999990463,7.44955617699197,100,1715.10000002384,10,7
"63873",18,"Female","Standard","<p>All metal is hard to break.</p><p>Bricks are not metal.</p>","DA","Invalid","Unbelievable","No-conflict","7",69,"No","true",7507.69999992847,8.92368443951976,100,2118,11,4
"63873",18,"Female","Standard","<p>All mammals can walk.</p><p>Birds can walk.</p>","AC","Invalid","Unbelievable","No-conflict","2",63,"No","true",3039.5,8.01944830718878,100,1848.39999997616,12,0
"63873",18,"Female","Standard","<p>All fruits can be eaten.</p><p>Knives are not fruits.</p>","DA","Invalid","Believable","Conflict","1",28,"Yes","false",1836.5,7.51561686525972,100,1716.39999997616,13,10
"63873",18,"Female","Standard","<p>All Scandinavian countries are cold.</p><p>Indonesia is not a Scandinavian country.</p>","DA","Invalid","Believable","Conflict","5",82,"No","true",5040.5,8.525260562494,100,1898.90000009537,14,2
"63873",18,"Female","Standard","<p>All plants need sunlight.</p><p>Solar panels are not plants.</p>","DA","Invalid","Unbelievable","No-conflict","8",79,"No","true",4631.09999990463,8.44054969983531,100,2315.5,15,2
"63873",18,"Female","Standard","<p>All sports require equipment.</p><p>Talking does not require equipment.</p>","MT","Valid","Believable","No-conflict","3",90,"Yes","true",8170.60000002384,9.00829762457291,100,1792.09999990463,16,10
"63873",18,"Female","Standard","<p>All trees grow leaves.</p><p>Pines are trees.</p>","MP","Valid","Unbelievable","Conflict","7",112,"Yes","true",4330.80000007153,8.37350756145326,100,1985.79999995232,17,1
"63873",18,"Female","Standard","<p>All fuel is liquid.</p><p>Coal is fuel.</p>","MP","Valid","Unbelievable","Conflict","6",31,"Yes","true",4200.89999997616,8.34305406702417,100,1604.20000004768,18,3
"63873",18,"Female","Standard","<p>All fish swim.</p><p>Dolphins swim.</p>","AC","Invalid","Unbelievable","No-conflict","5",20,"No","true",6591.70000004768,8.79356656085221,81,3870,19,0
"63873",18,"Female","Standard","<p>All things that need oxygen have lungs.</p><p>Fire needs oxygen.</p>","MP","Valid","Unbelievable","Conflict","4",111,"No","false",3355.79999995232,8.11844547104139,100,1936.79999995232,20,0
"63873",18,"Female","Standard","<p>All flowers need air.</p><p>Daisies are flowers.</p>","MP","Valid","Believable","No-conflict","5",22,"Yes","true",2534.69999992847,7.83783056579869,100,1851.19999992847,21,9
"63873",18,"Female","Standard","<p>All dogs have snouts.</p><p>Labradors have snouts.</p>","AC","Invalid","Believable","Conflict","4",18,"Yes","false",203.899999976158,5.31762967746348,100,1924,22,10
"63873",18,"Female","Standard","<p>All metal is hard to break.</p><p>Aluminum foil is not hard to break.</p>","MT","Valid","Unbelievable","Conflict","7",68,"Yes","true",4272.70000004768,8.36000122490589,100,1757.5,23,3
"63873",18,"Female","Standard","<p>All things that need oxygen have lungs.</p><p>Dead people don't need oxygen.</p>","DA","Invalid","Unbelievable","No-conflict","3",110,"No","true",5103.39999997616,8.53766226325091,100,1941,24,2
"63873",18,"Female","Standard","<p>All citruses are sour.</p><p>Oranges are citruses.</p>","MP","Valid","Unbelievable","Conflict","8",13,"Yes","true",5637.59999990463,8.6372137219959,100,1861.29999995232,25,9
"63873",18,"Female","Standard","<p>All things made of wood can be used as fuel.</p><p>Trees are made of wood.</p>","MP","Valid","Believable","No-conflict","4",101,"Yes","true",6465.10000002384,8.77417375899412,100,1749,26,9
"63873",18,"Female","Standard","<p>All African countries are warm.</p><p>The North Pole is not an African country.</p>","DA","Invalid","Believable","Conflict","2",2,"Yes","false",2178.39999997616,7.6863459413486,100,1848,27,0
"63873",18,"Female","Standard","<p>All lava is liquid.</p><p>Water is not lava.</p>","DA","Invalid","Unbelievable","No-conflict","6",58,"No","true",1584.70000004768,7.36815039397885,100,2130.69999992847,28,0
"63873",18,"Female","Standard","<p>All cycling requires shoes.</p><p>Swimming does not require shoes.</p>","MT","Valid","Believable","No-conflict","7",15,"Yes","true",9892.39999997616,9.19952206453789,100,1524.30000007153,29,10
"63873",18,"Female","Standard","<p>All things made of metal shine.</p><p>Old pennies don't shine</p>","MT","Valid","Unbelievable","Conflict","4",100,"No","false",4689.70000004768,8.45312389351973,100,1951.19999992847,30,4
"63873",18,"Female","Standard","<p>All Scandinavian countries are cold.</p><p>Indonesia is not cold.</p>","MT","Valid","Believable","No-conflict","5",83,"Yes","true",1847.5,7.52158865282236,100,2473.70000004768,31,10
"63873",18,"Female","Standard","<p>All birds have feathers.</p><p>Parrots have feathers.</p>","AC","Invalid","Believable","Conflict","7",8,"Yes","false",10265.7000000477,9.2365635200211,100,2042,32,10
"63873",18,"Female","Standard","<p>All trees have roots.</p><p>Oaks have roots.</p>","AC","Invalid","Believable","Conflict","1",116,"Yes","false",1223,7.10906213568717,100,1999.5,33,10
"63873",18,"Female","Standard","<p>All humans have two legs.</p><p>Leg amputees do not have two legs.</p>","MT","Valid","Unbelievable","Conflict","3",51,"No","false",1486.39999997616,7.30411236804353,100,1907.40000009537,34,0
"63873",18,"Female","Standard","<p>All plants are green.</p><p>Mushrooms are not green.</p>","MT","Valid","Believable","No-conflict","6",76,"No","false",4788.09999990463,8.47388895198705,100,2059.19999992847,35,7
