subject_id,number_of_model_rows,number_of_task_types,task_types,mean_number_models
63873,4,4,"AC,DA,MP,MT",2.2125
63884,4,4,"AC,DA,MP,MT",2.7375
63885,4,4,"AC,DA,MP,MT",3.5625
63954,4,4,"AC,DA,MP,MT",3.5625
63969,4,4,"AC,DA,MP,MT",2.2125
63977,4,4,"AC,DA,MP,MT",2.2125
63978,4,4,"AC,DA,MP,MT",2.2125
64012,4,4,"AC,DA,MP,MT",3.5625
64037,4,4,"AC,DA,MP,MT",2.2125
64038,4,4,"AC,DA,MP,MT",2.2125
64039,4,4,"AC,DA,MP,MT",2.2125
64065,4,4,"AC,DA,MP,MT",3.5625
64066,4,4,"AC,DA,MP,MT",2.7375
64105,4,4,"AC,DA,MP,MT",2.7375
64116,4,4,"AC,DA,MP,MT",3.5625
64123,4,4,"AC,DA,MP,MT",2.2125
64159,4,4,"AC,DA,MP,MT",3.5625
64189,4,4,"AC,DA,MP,MT",3.5625
64222,4,4,"AC,DA,MP,MT",3.5625
64250,4,4,"AC,DA,MP,MT",3.5625
64258,4,4,"AC,DA,MP,MT",3.5125
64270,4,4,"AC,DA,MP,MT",3.5625
64312,4,4,"AC,DA,MP,MT",2.8875
64363,4,4,"AC,DA,MP,MT",2.2125
64369,4,4,"AC,DA,MP,MT",3.5625
64386,4,4,"AC,DA,MP,MT",3.5625
64388,4,4,"AC,DA,MP,MT",3.5625
64392,4,4,"AC,DA,MP,MT",2.2125
64434,4,4,"AC,DA,MP,MT",3.325
64438,4,4,"AC,DA,MP,MT",3.5625
64450,4,4,"AC,DA,MP,MT",2.2125
64597,4,4,"AC,DA,MP,MT",2.7375
64615,4,4,"AC,DA,MP,MT",2.2125
64652,4,4,"AC,DA,MP,MT",3.5625
64685,4,4,"AC,DA,MP,MT",3.325
64695,4,4,"AC,DA,MP,MT",3.5125
64707,4,4,"AC,DA,MP,MT",2.2125
64708,4,4,"AC,DA,MP,MT",3.5625
64776,4,4,"AC,DA,MP,MT",2.2125
64793,4,4,"AC,DA,MP,MT",2.2125
64806,4,4,"AC,DA,MP,MT",3.5625
64843,4,4,"AC,DA,MP,MT",2.7375
64869,4,4,"AC,DA,MP,MT",2.2125
64871,4,4,"AC,DA,MP,MT",2.7375
64882,4,4,"AC,DA,MP,MT",2.2125
64888,4,4,"AC,DA,MP,MT",3.5625
