,confidence,is_correct,subject_accuracy,item_entropy,item_accuracy,item_yes_rate,number_models_generated,subject_mean_models,models_within_subject,std_models_generated,validity_binary,sequence,rt,logRT,rt_for
confidence,1.0,0.00391915277199809,-0.048350793999422784,-0.1264733189754204,0.035065025226950076,0.08871027972565661,-0.0634163972893407,-0.06485386700769767,-0.0395513060537752,-0.04386491145917938,0.047754138680830026,-0.03484617579778628,-0.08365394912413407,-0.08260871921204624,-0.019301131221955155
is_correct,0.00391915277199809,1.0,0.2904632587613104,-0.3681743613312417,0.5426019201667733,0.013829381252847996,0.06816432877487892,0.18179758332713924,-0.010284165849188046,-0.07769613287593173,0.1831661252680557,-0.002122953279584629,0.06420494708058735,0.09909297639998657,-0.016196228524674866
subject_accuracy,-0.048350793999422784,0.2904632587613104,1.0,0.015866960029921873,0.008587675982719345,0.018922462355980822,0.2667051880772745,0.6258883967026382,8.307541761266716e-18,-0.0028040116937974287,1.15171253254399e-16,-8.649112139853369e-17,0.15451589139977748,0.21379428838007117,0.003582019861383959
item_entropy,-0.1264733189754204,-0.3681743613312417,0.015866960029921873,1.0,-0.6785349399760278,-0.3300263041831304,0.11013619423378158,-0.015320601878625826,0.128958889632116,0.14115380457191473,-0.20677178624753176,-0.015706551160237222,0.06124924759205151,0.11874249975715097,0.032182171852428755
item_accuracy,0.035065025226950076,0.5426019201667733,0.008587675982719345,-0.6785349399760278,1.0,0.025487158704851662,-0.10539150557339047,-0.008291970518975903,-0.11259202198698338,-0.13607552188540484,0.33756999092770906,0.011691831478541964,-0.0025542679041196796,-0.009290040440421346,-0.019084996901793026
item_yes_rate,0.08871027972565661,0.013829381252847996,0.018922462355980822,-0.3300263041831304,0.025487158704851662,1.0,-0.2631342586310315,-0.018270891952368286,-0.2822575189608185,-0.32622427007999194,0.4453596041500253,-0.005585161108072937,-0.04512184544963247,-0.08258782105474033,-0.019174467062067907
number_models_generated,-0.0634163972893407,0.06816432877487892,0.2667051880772745,0.11013619423378158,-0.10539150557339047,-0.2631342586310315,1.0,0.4261225954696619,0.9046654263484328,0.7221768886014223,-0.5071858466251434,0.009865309278305423,0.05698357443249741,0.09636763167110873,0.010164382645645191
subject_mean_models,-0.06485386700769767,0.18179758332713924,0.6258883967026382,-0.015320601878625826,-0.008291970518975903,-0.018270891952368286,0.4261225954696619,1.0,-8.741345260248753e-18,0.026189397604246163,1.288591046879914e-16,-1.1918912698356117e-16,0.06354267272074779,0.08030937442779598,0.0023196310300681606
models_within_subject,-0.0395513060537752,-0.010284165849188046,8.307541761266716e-18,0.128958889632116,-0.11259202198698338,-0.2822575189608185,0.9046654263484328,-8.741345260248753e-18,1.0,0.7859446971356533,-0.5606336131052737,0.010904925722789558,0.03302159590820019,0.0686424689717829,0.010142904971640344
std_models_generated,-0.04386491145917938,-0.07769613287593173,-0.0028040116937974287,0.14115380457191473,-0.13607552188540484,-0.32622427007999194,0.7221768886014223,0.026189397604246163,0.7859446971356533,1.0,-0.6476566011908146,0.004740486978799425,0.03756142938539337,0.08071379636201655,0.010693820692890375
validity_binary,0.047754138680830026,0.1831661252680557,1.15171253254399e-16,-0.20677178624753176,0.33756999092770906,0.4453596041500253,-0.5071858466251434,1.288591046879914e-16,-0.5606336131052737,-0.6476566011908146,1.0,-0.012261552861788701,-0.025668367558972557,-0.03474027232191342,-0.0009491026264304469
sequence,-0.03484617579778628,-0.002122953279584629,-8.649112139853369e-17,-0.015706551160237222,0.011691831478541964,-0.005585161108072937,0.009865309278305423,-1.1918912698356117e-16,0.010904925722789558,0.004740486978799425,-0.012261552861788701,1.0,-0.04532131081872626,-0.15743398315761215,-0.04976117040238083
rt,-0.08365394912413407,0.06420494708058735,0.15451589139977748,0.06124924759205151,-0.0025542679041196796,-0.04512184544963247,0.05698357443249741,0.06354267272074779,0.03302159590820019,0.03756142938539337,-0.025668367558972557,-0.04532131081872626,1.0,0.6878679192557016,0.09202552182965022
logRT,-0.08260871921204624,0.09909297639998657,0.21379428838007117,0.11874249975715097,-0.009290040440421346,-0.08258782105474033,0.09636763167110873,0.08030937442779598,0.0686424689717829,0.08071379636201655,-0.03474027232191342,-0.15743398315761215,0.6878679192557016,1.0,0.08457289831105859
rt_for,-0.019301131221955155,-0.016196228524674866,0.003582019861383959,0.032182171852428755,-0.019084996901793026,-0.019174467062067907,0.010164382645645191,0.0023196310300681606,0.010142904971640344,0.010693820692890375,-0.0009491026264304469,-0.04976117040238083,0.09202552182965022,0.08457289831105859,1.0
