subject_id,subject_n_trials,subject_n_accuracy_trials,subject_correct_count,subject_accuracy,subject_mean_confidence,subject_median_confidence,subject_std_confidence,subject_n_confidence_values,subject_zero_confidence_rate,subject_hundred_confidence_rate,subject_condition_count,subject_condition,subject_mean_models,subject_median_models,subject_std_models_across_trials,subject_min_models,subject_max_models,subject_n_model_trials,subject_n_distinct_model_values
63873,64,64,35,0.546875,99.328125,100.0,3.6035903062415544,4,0.0,0.9375,1,Standard,2.2125,2.175,0.18300837000548228,2.0,2.5,64,4
63884,64,64,35,0.546875,68.03125,70.0,20.97691001954897,43,0.0,0.015625,1,Neutral,2.7375,2.375,0.8665750867365051,2.0,4.2,64,4
63885,64,64,31,0.484375,92.6875,100.0,15.001454955891802,18,0.0,0.6875,1,Standard,3.5625,2.8,1.8269151725296522,2.0,6.65,64,4
63954,64,64,49,0.765625,51.25,57.0,15.421074016083438,34,0.0,0.0,1,Neutral,3.5625,2.8,1.8269151725296522,2.0,6.65,64,4
63969,64,64,32,0.5,88.5625,93.0,12.109126821573568,26,0.0,0.28125,1,Standard,2.2125,2.05,0.3154739442867026,2.0,2.75,64,3
63977,64,64,41,0.640625,91.171875,100.0,16.422550009347635,22,0.0,0.53125,1,Neutral,2.2125,2.05,0.31547394428670256,2.0,2.75,64,3
63978,64,64,30,0.46875,91.1875,100.0,17.388077469784808,17,0.0,0.640625,1,Standard,2.2125,2.05,0.3154739442867026,2.0,2.75,64,3
64012,64,64,59,0.921875,72.5625,74.0,9.5333583083256,30,0.0,0.0,1,Standard,3.5625,2.8,1.826915172529652,2.0,6.65,64,4
64037,64,64,44,0.6875,67.734375,68.5,9.16730246712791,29,0.0,0.0,1,Neutral,2.2125,2.05,0.3154739442867026,2.0,2.75,64,3
64038,64,64,36,0.5625,69.625,70.5,8.573676953789226,25,0.0,0.0,1,Neutral,2.2125,2.05,0.3154739442867024,2.0,2.75,64,3
64039,64,64,34,0.53125,70.828125,69.0,7.533111432677921,24,0.0,0.015625,1,Standard,2.2125,2.05,0.3154739442867025,2.0,2.75,64,3
64065,64,64,39,0.609375,50.796875,50.0,6.2746142295888365,6,0.0,0.015625,1,Standard,3.5625,2.8,1.826915172529652,2.0,6.65,64,4
64066,64,64,39,0.609375,86.671875,91.0,15.86956224829094,24,0.0,0.203125,1,Standard,2.7375,2.375,0.866575086736505,2.0,4.2,64,4
64105,64,64,34,0.53125,59.984375,62.0,13.874141972611874,33,0.0,0.0,1,Standard,2.7375,2.375,0.8665750867365051,2.0,4.2,64,4
64116,64,64,47,0.734375,70.46875,69.0,12.05538640068585,29,0.0,0.046875,1,Neutral,3.5625,2.8,1.8269151725296522,2.0,6.65,64,4
64123,64,64,40,0.625,71.453125,68.5,27.019645814122637,27,0.03125,0.34375,1,Neutral,2.2125,2.05,0.31547394428670256,2.0,2.75,64,3
64159,64,64,50,0.78125,64.015625,66.0,21.0083068887841,34,0.0,0.109375,1,Standard,3.5625,2.8,1.826915172529652,2.0,6.65,64,4
64189,64,64,57,0.890625,65.71875,74.0,19.567927070624265,28,0.0,0.0,1,Standard,3.5625,2.8,1.826915172529652,2.0,6.65,64,4
64222,64,64,60,0.9375,59.375,64.5,27.433324654283183,45,0.03125,0.0625,1,Standard,3.5625,2.8,1.826915172529652,2.0,6.65,64,4
64258,64,64,41,0.640625,49.78125,46.0,7.674879141802157,18,0.0,0.0,1,Neutral,3.5125,2.725,1.8283047920678905,2.0,6.6,64,4
64270,64,64,58,0.90625,62.484375,64.0,16.04259428363151,36,0.0,0.03125,1,Neutral,3.5625,2.8,1.826915172529652,2.0,6.65,64,4
64312,64,64,33,0.515625,67.546875,72.5,21.341463991897566,31,0.0,0.0,1,Neutral,2.8875,2.425,1.0704545837507615,2.0,4.7,64,4
64363,64,64,33,0.515625,98.234375,100.0,12.49220987414487,5,0.015625,0.875,1,Neutral,2.2125,2.05,0.3154739442867026,2.0,2.75,64,3
64369,64,64,32,0.5,97.828125,100.0,6.972860512742152,9,0.0,0.859375,1,Standard,3.5625,2.8,1.826915172529652,2.0,6.65,64,4
64386,64,64,41,0.640625,58.09375,51.0,17.898052345933568,23,0.0,0.09375,1,Standard,3.5625,2.8,1.8269151725296517,2.0,6.65,64,4
64388,64,64,33,0.515625,61.453125,66.0,24.77129014557358,38,0.015625,0.03125,1,Standard,3.5625,2.8,1.8269151725296517,2.0,6.65,64,4
64392,64,64,38,0.59375,50.328125,50.0,0.909468491212277,6,0.0,0.0,1,Neutral,2.2125,2.05,0.31547394428670256,2.0,2.75,64,3
64438,64,64,40,0.625,68.90625,66.5,20.22862873837277,40,0.0,0.03125,1,Standard,3.5625,2.8,1.8269151725296522,2.0,6.65,64,4
64450,64,64,31,0.484375,88.484375,87.0,1.5633926021865032,3,0.0,0.0,1,Neutral,2.2125,2.175,0.18300837000548228,2.0,2.5,64,4
64615,64,64,33,0.515625,92.34375,100.0,9.982872236748205,21,0.0,0.515625,1,Standard,2.2125,2.175,0.18300837000548223,2.0,2.5,64,4
64652,64,64,62,0.96875,86.78125,89.0,8.765858644638172,27,0.0,0.015625,1,Neutral,3.5625,2.8,1.826915172529652,2.0,6.65,64,4
64685,64,64,46,0.71875,79.546875,98.0,27.134544074718796,23,0.015625,0.484375,1,Neutral,3.325,2.575,1.6655234174181566,2.0,6.15,64,4
64695,64,64,34,0.53125,62.734375,50.0,23.564327483760373,22,0.0,0.171875,1,Standard,3.5125,2.725,1.8283047920678903,2.0,6.6,64,4
64707,64,64,30,0.46875,92.421875,100.0,17.549752123696067,12,0.0,0.765625,1,Standard,2.2125,2.05,0.31547394428670245,2.0,2.75,64,3
64708,64,64,62,0.96875,99.578125,100.0,1.9583333333333297,4,0.0,0.9375,1,Standard,3.5625,2.8,1.8269151725296522,2.0,6.65,64,4
64776,64,64,36,0.5625,74.6875,76.5,12.823434648738859,29,0.0,0.046875,1,Standard,2.2125,2.05,0.31547394428670256,2.0,2.75,64,3
64793,64,64,34,0.53125,89.109375,100.0,24.23962202249967,7,0.015625,0.8125,1,Standard,2.2125,2.05,0.3154739442867025,2.0,2.75,64,3
64806,64,64,32,0.5,97.828125,100.0,12.34498122752467,6,0.0,0.65625,1,Standard,3.5625,2.8,1.8269151725296526,2.0,6.65,64,4
64843,64,64,33,0.515625,94.5,100.0,14.72607017697331,15,0.0,0.75,1,Standard,2.7375,2.375,0.8665750867365049,2.0,4.2,64,4
64869,64,64,33,0.515625,66.703125,67.0,5.113566417671373,21,0.0,0.0,1,Neutral,2.2125,2.05,0.31547394428670256,2.0,2.75,64,3
64871,64,64,34,0.53125,61.90625,66.0,14.421895556013833,23,0.0,0.0,1,Neutral,2.7375,2.375,0.866575086736505,2.0,4.2,64,4
64882,64,64,28,0.4375,79.359375,77.0,9.984698114042882,26,0.0,0.078125,1,Standard,2.2125,2.05,0.3154739442867026,2.0,2.75,64,3
64888,64,64,58,0.90625,85.125,87.0,9.924316777091684,22,0.0,0.0,1,Neutral,3.5625,2.8,1.826915172529652,2.0,6.65,64,4
64890,64,64,34,0.53125,63.203125,63.5,17.479402560982702,35,0.0,0.046875,1,Neutral,2.7375,2.375,0.866575086736505,2.0,4.2,64,4
64919,64,64,51,0.796875,71.046875,73.0,7.925105151773484,26,0.0,0.0,1,Standard,3.5625,2.8,1.8269151725296517,2.0,6.65,64,4
64923,64,64,34,0.53125,77.078125,80.0,18.168789467498538,33,0.0,0.09375,1,Neutral,2.7375,2.375,0.8665750867365049,2.0,4.2,64,4
64926,64,64,35,0.546875,71.46875,71.0,6.8265791242526825,24,0.0,0.015625,1,Standard,2.8875,2.425,1.0704545837507615,2.0,4.7,64,4
64939,64,64,32,0.5,62.84375,54.0,16.798732709193295,28,0.0,0.0625,1,Standard,2.2125,2.05,0.3154739442867025,2.0,2.75,64,3
64947,64,64,30,0.46875,66.375,69.5,11.374574821985762,26,0.0,0.0,1,Standard,2.2125,2.175,0.18300837000548223,2.0,2.5,64,4
