condition,sequence_block,n_observations,n_at_ceiling,ceiling_rate
Neutral,01-08,560,141,0.2517857142857143
Neutral,09-16,560,117,0.20892857142857144
Neutral,17-24,560,112,0.2
Neutral,25-32,560,100,0.17857142857142858
Neutral,33-40,560,102,0.18214285714285713
Neutral,41-48,560,95,0.16964285714285715
Neutral,49-56,560,103,0.18392857142857144
Neutral,57-64,560,88,0.15714285714285714
Standard,01-08,568,237,0.41725352112676056
Standard,09-16,568,191,0.3362676056338028
Standard,17-24,568,183,0.3221830985915493
Standard,25-32,568,177,0.31161971830985913
Standard,33-40,568,165,0.2904929577464789
Standard,41-48,568,188,0.33098591549295775
Standard,49-56,568,165,0.2904929577464789
Standard,57-64,568,172,0.3028169014084507
