probability_bin,n_observations,mean_predicted_probability,observed_ceiling_rate
"(0.0232, 0.0514]",903,0.042652449452642724,0.18604651162790697
"(0.0514, 0.0656]",902,0.05843617492306322,0.15964523281596452
"(0.0656, 0.0825]",902,0.07402815159865274,0.1917960088691796
"(0.0825, 0.106]",903,0.09292054941415794,0.19490586932447398
"(0.106, 0.156]",902,0.12877808702024246,0.21840354767184036
"(0.156, 0.205]",902,0.18050790132152275,0.26718403547671843
"(0.205, 0.248]",903,0.226061576845852,0.28460686600221485
"(0.248, 0.293]",902,0.27051532262770683,0.311529933481153
"(0.293, 0.358]",902,0.32314201474985327,0.3425720620842572
"(0.358, 0.649]",903,0.43078236744769016,0.4318936877076412
