model,component,variance,standard_deviation,proportion_random_total
Null_ML,Participant,199.564714370184,14.12673756994813,0.4016659846459893
Null_ML,Item,11.86503237062833,3.4445656287300332,0.02388087455763671
Null_ML,Residual,285.41270942602375,16.8941619924169,0.574453140796374
Control_ML,Participant,193.73380664011862,13.918829212262022,0.395087222527232
Control_ML,Item,11.873709624788802,3.4458249556222094,0.024214415842594716
Control_ML,Residual,284.7495380606478,16.87452334321322,0.5806983616301733
Cognitive_ML,Participant,190.89642432694842,13.816527216596377,0.3971672771974985
Cognitive_ML,Item,5.05284241094003,2.2478528445919297,0.010512630970101395
Cognitive_ML,Residual,284.69562846585654,16.872925901154684,0.5923200918324001
Cognitive_REML,Participant,196.65038197094918,14.023208690273036,0.40411383245151256
Cognitive_REML,Item,5.221232542308341,2.285001650395102,0.010729561120834641
Cognitive_REML,Residual,284.7496445958184,16.874526499899734,0.5851566064276528
