model,component,variance,standard_deviation,proportion_random_total
Null_ML,Participant,199.564714370184,14.12673756994813,0.4016659846459893
Null_ML,Item,11.86503237062833,3.4445656287300332,0.02388087455763671
Null_ML,Residual,285.41270942602375,16.8941619924169,0.574453140796374
Control_ML,Participant,193.73380664011862,13.918829212262022,0.395087222527232
Control_ML,Item,11.873709624788802,3.4458249556222094,0.024214415842594716
Control_ML,Residual,284.7495380606478,16.87452334321322,0.5806983616301733
Cognitive_ML,Participant,190.16425375125058,13.790005574736023,0.3962522559484154
Cognitive_ML,Item,5.017673645733875,2.240016438719563,0.010455511288340026
Cognitive_ML,Residual,284.7251290211534,16.87380007648406,0.5932922327632446
Cognitive_REML,Participant,195.8239789822286,13.993712123029708,0.40309775427224037
Cognitive_REML,Item,5.198718015742428,2.280069739227822,0.010701404231146735
Cognitive_REML,Residual,284.7750453778767,16.875279119999075,0.5862008414966129
