confidence_bin_10,n_observations,mean_confidence,observed_accuracy,calibration_gap
0-10,106,0.029245283018867925,0.5283018867924528,-0.4990566037735849
11-20,64,0.16265625,0.609375,-0.44671875
21-30,198,0.26065656565656564,0.5909090909090909,-0.3302525252525253
31-40,277,0.35566787003610106,0.6606498194945848,-0.3049819494584837
41-50,626,0.479297124600639,0.5846645367412141,-0.1053674121405751
51-60,839,0.5638736591179976,0.6162097735399285,-0.05233611442193087
61-70,1447,0.6577194194885971,0.6344160331720802,0.02330338631651696
71-80,1416,0.7529943502824858,0.6610169491525424,0.09197740112994346
81-90,930,0.8548602150537634,0.6408602150537634,0.21399999999999997
91-99,785,0.9538853503184713,0.5808917197452229,0.3729936305732484
100,2336,1.0,0.6160102739726028,0.3839897260273972
