analysis,outcome,parameter,estimate,standard_error_or_posterior_sd,lower_95,upper_95,transformed_estimate,p_value
Linear mixed model,Confidence 0-100,Intercept,73.15141167603767,1.7594196321400977,69.70294919704308,76.59987415503225,,0.0
Linear mixed model,Confidence 0-100,"C(condition, Treatment(reference='Neutral'))[T.Standard]",5.13570885459263,2.5347212885794845,0.16765512897683976,10.10376258020842,,0.042750089945013316
Linear mixed model,Confidence 0-100,sequence_c10,-0.43739164288615046,0.0965888987267386,-0.6267058843905582,-0.24807740138174278,,5.943643917296593e-06
Linear mixed model,Confidence 0-100,subject_accuracy_z,0.3097927012185961,1.5029865464206076,-2.636060929765795,3.255646332202987,,0.8366986761944191
Linear mixed model,Confidence 0-100,item_entropy_z,-2.4942510795980244,0.2725290541505207,-3.028408025733045,-1.960094133463004,,5.576546940614832e-20
Linear mixed model,Confidence 0-100,subject_mean_models_z,-1.8005399656229721,1.5077122389806776,-4.755655954025101,1.1545760227791562,,0.23239195909680133
Linear mixed model,Confidence 0-100,models_within_subject_z,-0.49085629528290226,0.2182921579721359,-0.9187089249082886,-0.06300366565751592,,0.024536629474761866
Logistic mixed calibration model,Correct response,Intercept,0.8877013253455557,0.02748193010070047,0.8338367423481827,0.9415659083429286,2.429538509050568,
Logistic mixed calibration model,Correct response,"C(condition, Treatment(reference='Neutral'))[T.Standard]",-0.08377823121168658,0.05494416213076544,-0.19146878898798683,0.023912326564613673,0.919635179861854,
Logistic mixed calibration model,Correct response,confidence_z,-0.007851506254845661,0.026733879285411936,-0.06024990965425305,0.04454689714456173,0.9921792363092953,
Logistic mixed calibration model,Correct response,sequence_c10,-0.013332717606005316,0.014822667890895414,-0.042385146672160326,0.015719711460149693,0.9867557693795019,
