subject_id,condition,n_trials,n_correct,n_incorrect,accuracy,mean_confidence_probability,calibration_bias,brier_score,type2_auc,mean_confidence_correct,mean_confidence_incorrect,confidence_discrimination
63873,Standard,64,35,29,0.546875,0.99328125,0.44640625,0.4469484375,0.5369458128078818,99.45714285714286,99.17241379310344,0.2847290640394107
63884,Neutral,64,35,29,0.546875,0.6803125,0.1334375,0.320828125,0.4798029556650246,66.94285714285714,69.34482758620689,-2.4019704433497537
63885,Standard,64,31,33,0.484375,0.926875,0.4425,0.4696875,0.543010752688172,92.48387096774194,92.87878787878788,-0.3949169110459394
63954,Neutral,64,49,15,0.765625,0.5125,-0.25312500000000004,0.272940625,0.482312925170068,50.857142857142854,52.53333333333333,-1.6761904761904773
63969,Standard,64,32,32,0.5,0.885625,0.385625,0.416265625,0.48291015625,88.25,88.875,-0.625
63977,Neutral,64,41,23,0.640625,0.9117187499999999,0.2710937499999999,0.3587171875,0.454931071049841,88.95121951219512,95.1304347826087,-6.179215270413579
63978,Standard,64,30,34,0.46875,0.911875,0.443125,0.481590625,0.5446078431372549,90.5,91.79411764705883,-1.294117647058826
64012,Standard,64,59,5,0.921875,0.7256250000000001,-0.19624999999999992,0.097665625,0.771186440677966,73.7457627118644,58.6,15.1457627118644
64037,Neutral,64,44,20,0.6875,0.67734375,-0.010156249999999978,0.2239421875,0.5278409090909091,67.68181818181819,67.85,-0.16818181818180733
64038,Neutral,64,36,28,0.5625,0.69625,0.13375000000000004,0.28762499999999996,0.42410714285714285,68.16666666666667,71.5,-3.3333333333333286
64039,Standard,64,34,30,0.53125,0.70828125,0.17703124999999997,0.2700609375,0.5808823529411765,72.32352941176471,69.13333333333334,3.19019607843137
64065,Standard,64,39,25,0.609375,0.50796875,-0.10140625000000003,0.2465953125,0.47589743589743594,51.256410256410255,50.08,1.1764102564102572
64066,Standard,64,39,25,0.609375,0.86671875,0.25734375,0.3519296875,0.3635897435897436,84.7948717948718,89.6,-4.805128205128199
64105,Standard,64,34,30,0.53125,0.5998437499999999,0.0685937499999999,0.24001093750000002,0.6627450980392157,63.05882352941177,56.5,6.558823529411768
64116,Neutral,64,47,17,0.734375,0.7046875,-0.029687499999999978,0.198078125,0.5663329161451816,71.29787234042553,68.17647058823529,3.1214017521902377
64123,Neutral,64,40,24,0.625,0.71453125,0.08953124999999995,0.31679531250000004,0.5125,71.25,71.79166666666667,-0.5416666666666714
64159,Standard,64,50,14,0.78125,0.64015625,-0.14109375000000002,0.2148078125,0.6171428571428572,65.26,59.57142857142857,5.688571428571436
