analysis,outcome,parameter,estimate,standard_error_or_posterior_sd,lower_95,upper_95,transformed_estimate,p_value
Linear mixed model,Confidence 0-100,Intercept,73.09547789295152,1.7531926435492255,69.65922031159504,76.53173547430801,,0.0
Linear mixed model,Confidence 0-100,"C(condition, Treatment(reference='Neutral'))[T.Standard]",5.246788621037827,2.5223619690367194,0.30295916172585713,10.190618080349797,,0.03751550764099382
Linear mixed model,Confidence 0-100,sequence_c10,-0.4380715926623394,0.096590544138288,-0.627389059173384,-0.2487541261512949,,5.75089736961523e-06
Linear mixed model,Confidence 0-100,subject_accuracy_z,0.6960524470079125,1.5837121716478886,-2.4080234094219493,3.800128303437774,,0.6602942743457958
Linear mixed model,Confidence 0-100,item_entropy_z,-2.487428338971572,0.27277161633093394,-3.0220607069802026,-1.9527959709629417,,7.575923775065895e-20
Linear mixed model,Confidence 0-100,subject_mean_models_z,-2.240801323265913,1.5828391043091552,-5.343165967711857,0.8615633211800313,,0.15686779909150805
Linear mixed model,Confidence 0-100,models_within_subject_z,-0.4845983044157915,0.2310590201070305,-0.9374739838255712,-0.031722625006011695,,0.03596770780735355
Logistic mixed calibration model,Correct response,Intercept,0.8877013253455557,0.02748193010070047,0.8338367423481827,0.9415659083429286,2.429538509050568,
Logistic mixed calibration model,Correct response,"C(condition, Treatment(reference='Neutral'))[T.Standard]",-0.08377823121168658,0.05494416213076544,-0.19146878898798683,0.023912326564613673,0.919635179861854,
Logistic mixed calibration model,Correct response,confidence_z,-0.007851506254845661,0.026733879285411936,-0.06024990965425305,0.04454689714456173,0.9921792363092953,
Logistic mixed calibration model,Correct response,sequence_c10,-0.013332717606005316,0.014822667890895414,-0.042385146672160326,0.015719711460149693,0.9867557693795019,
