subject_id,task_type,models_n3,models_n10,models_n20,difference_n10_minus_n3,difference_n20_minus_n3,difference_n20_minus_n10
63873,AC,2.3333,2.1,2.2,-0.23329999999999984,-0.13329999999999975,0.10000000000000009
63873,DA,3.6667,3.4,2.5,-0.26670000000000016,-1.1667,-0.8999999999999999
63873,MP,2.3333,2.3,2.15,-0.03330000000000011,-0.18330000000000002,-0.1499999999999999
63873,MT,2.0,2.0,2.0,0.0,0.0,0.0
63884,AC,3.0,2.7,2.45,-0.2999999999999998,-0.5499999999999998,-0.25
63884,DA,3.3333,5.1,4.2,1.7666999999999997,0.8667000000000002,-0.8999999999999995
63884,MP,2.3333,2.5,2.3,0.16670000000000007,-0.03330000000000011,-0.20000000000000018
63884,MT,2.0,2.0,2.0,0.0,0.0,0.0
63885,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
63885,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
63885,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
63885,MT,2.0,2.0,2.0,0.0,0.0,0.0
63954,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
63954,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
63954,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
63954,MT,2.0,2.0,2.0,0.0,0.0,0.0
63969,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
63969,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
63969,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
63969,MT,2.0,2.0,2.0,0.0,0.0,0.0
63977,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
63977,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
63977,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
63977,MT,2.0,2.0,2.0,0.0,0.0,0.0
63978,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
63978,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
63978,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
63978,MT,2.0,2.0,2.0,0.0,0.0,0.0
64012,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64012,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64012,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64012,MT,2.0,2.0,2.0,0.0,0.0,0.0
64037,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64037,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64037,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64037,MT,2.0,2.0,2.0,0.0,0.0,0.0
64038,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64038,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64038,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64038,MT,2.0,2.0,2.0,0.0,0.0,0.0
