simulation_setting,task_type,n_combinations,mean_models,sd_between_combinations,mean_simulation_sd,median_simulation_sd,mean_range,median_range,zero_sd_rate
3,AC,151,2.662250331125828,0.43544485067942057,0.07492450331125827,0.0,0.15894039735099338,0.0,0.8410596026490066
3,DA,151,4.017641059602649,1.5524225920485921,1.5047337748344372,1.8856,3.19205298013245,4.0,0.271523178807947
3,MP,151,2.322266225165563,0.09750346584432588,0.44330331125827815,0.4714,0.9403973509933775,1.0,0.059602649006622516
3,MT,151,2.0,0.0,0.0,0.0,0.0,0.0,1.0
10,AC,151,2.59205298013245,0.4315125612397932,0.13801920529801323,0.0,0.3509933774834437,0.0,0.6490066225165563
10,DA,151,4.941059602649006,1.5154436764274157,1.8425523178807945,1.8138,5.509933774834437,6.0,0.0
10,MP,151,2.36158940397351,0.10884908644682803,0.46634437086092717,0.4899,1.0,1.0,0.0
10,MT,151,2.0,0.0,0.0,0.0,0.0,0.0,1.0
20,AC,151,2.5304635761589407,0.3255750558593095,0.37152582781456955,0.3571,1.0,1.0,0.0
20,DA,151,4.814238410596027,1.7752781705359464,1.8178768211920528,1.6815,5.847682119205298,6.0,0.0
20,MP,151,2.4026490066225166,0.3114368892445786,0.3274814569536424,0.433,0.7483443708609272,1.0,0.25165562913907286
20,MT,151,2.0,0.0,0.0,0.0,0.0,0.0,1.0
