parameter,estimate,standard_error,z_value,p_value,ci_95_lower,ci_95_upper
Intercept,73.01652236268771,1.8202710189468791,40.112995044513504,0.0,69.44879116555182,76.5842535598236
"C(condition, Treatment(reference='Neutral'))[T.Standard]",5.197844959466249,2.534673492666302,2.0506960657873425,0.04029655434639952,0.22988491384029608,10.165805005092201
"C(task_type, Treatment(reference='AC'))[T.DA]",-0.599712172807113,0.8450810872415001,-0.7096504487689858,0.47792092698467037,-2.256071103800453,1.0566467581862273
"C(task_type, Treatment(reference='AC'))[T.MP]",1.1017131136730567,0.8030981862142846,1.371828666263598,0.17011678106644812,-0.4723593313069412,2.675785558653055
"C(task_type, Treatment(reference='AC'))[T.MT]",-0.08759726035999359,0.7845137977246865,-0.111658023879313,0.9110945632194358,-1.625244303900379,1.450049783180392
sequence_c10,-0.4361274481405247,0.09659129070034497,-4.515183977544334,6.326182069825441e-06,-0.6254463779132008,-0.24680851836784853
subject_accuracy_z,0.30979270121714514,1.5030918430416451,0.2061036407397774,0.8367099549273916,-2.636267311144479,3.2558527135787694
item_entropy_z,-2.246242714686587,0.30200748805049016,-7.437705366798905,1.0244924043819084e-13,-2.8381773912655475,-1.6543080381076263
subject_mean_models_z,-1.8005399656235925,1.5078178666754887,-1.1941362451112958,0.23242467719190996,-4.755862984307551,1.1547830530603653
models_within_subject_z,-0.32316806706892837,0.27463518483886606,-1.176717641836524,0.23930822397444163,-0.8614530293531057,0.21511689521524907
