subject_id,mean_number_models_generated_int,mean_number_models_generated_ref,models_change,more_models_ref,more_models_int,same_number_models
70128,3.844444444444444,2.0833333333333335,-1.7611111111111106,False,True,False
69876,3.25,2.083333333333333,-1.166666666666667,False,True,False
69809,3.0229885057471266,2.0804597701149423,-0.9425287356321843,False,True,False
69921,3.0,2.083333333333333,-0.916666666666667,False,True,False
69923,2.9735449735449735,2.084656084656084,-0.8888888888888893,False,True,False
69750,2.9735449735449735,2.084656084656084,-0.8888888888888893,False,True,False
69824,3.6666666666666665,3.0,-0.6666666666666665,False,True,False
70136,3.5737704918032787,2.961748633879781,-0.6120218579234975,False,True,False
69658,3.844444444444444,3.3388888888888886,-0.5055555555555555,False,True,False
70116,3.7555555555555555,3.2666666666666666,-0.48888888888888893,False,True,False
70111,3.693121693121693,3.2698412698412698,-0.42328042328042326,False,True,False
69618,3.7096774193548385,3.365591397849462,-0.3440860215053765,False,True,False
70115,3.693121693121693,3.354497354497354,-0.33862433862433905,False,True,False
69971,3.6666666666666665,3.5,-0.16666666666666652,False,True,False
69734,2.0833333333333335,2.0,-0.08333333333333348,False,True,False
70020,2.07909604519774,2.0,-0.07909604519774005,False,True,False
69947,2.073446327683616,2.0,-0.07344632768361592,False,True,False
69768,2.084656084656084,2.084656084656084,0.0,False,False,True
69755,3.5,3.5,0.0,False,False,True
69743,2.083333333333333,2.083333333333333,0.0,False,False,True
69705,3.370967741935484,3.370967741935484,0.0,False,False,True
69719,3.5055555555555555,3.5055555555555555,0.0,False,False,True
69738,3.532258064516129,3.532258064516129,0.0,False,False,True
69683,3.7916666666666665,3.7916666666666665,0.0,False,False,True
69775,2.954022988505747,2.954022988505747,0.0,False,False,True
69771,2.0777777777777775,2.0777777777777775,0.0,False,False,True
69663,3.4731182795698925,3.4731182795698925,0.0,False,False,True
69668,2.0860215053763436,2.0860215053763436,0.0,False,False,True
69628,2.0860215053763436,2.0860215053763436,0.0,False,False,True
69636,3.471264367816092,3.471264367816092,0.0,False,False,True
69623,2.084656084656084,2.084656084656084,0.0,False,False,True
69600,3.5,3.5,0.0,False,False,True
69906,2.978494623655914,2.978494623655914,0.0,False,False,True
69882,3.5238095238095237,3.5238095238095237,0.0,False,False,True
69880,3.339622641509434,3.339622641509434,0.0,False,False,True
69888,3.480874316939891,3.480874316939891,0.0,False,False,True
69924,3.518518518518518,3.518518518518518,0.0,False,False,True
69900,3.7904761904761903,3.7904761904761903,0.0,False,False,True
69870,3.5786163522012577,3.5786163522012577,0.0,False,False,True
69862,2.0935672514619883,2.0935672514619883,0.0,False,False,True
69855,3.015873015873016,3.015873015873016,0.0,False,False,True
69834,2.088888888888889,2.088888888888889,0.0,False,False,True
69860,3.5238095238095237,3.5238095238095237,0.0,False,False,True
69874,3.4497354497354498,3.4497354497354498,0.0,False,False,True
69807,3.573099415204678,3.573099415204678,0.0,False,False,True
69837,2.0860215053763436,2.0860215053763436,0.0,False,False,True
69815,2.0933333333333333,2.0933333333333333,0.0,False,False,True
69790,2.9555555555555557,2.9555555555555557,0.0,False,False,True
69933,3.5,3.5,0.0,False,False,True
69987,3.795698924731183,3.795698924731183,0.0,False,False,True
69980,2.0806451612903225,2.0806451612903225,0.0,False,False,True
69978,2.0935672514619883,2.0935672514619883,0.0,False,False,True
69955,2.0,2.0,0.0,False,False,True
70028,3.5254237288135593,3.5254237288135593,0.0,False,False,True
69993,3.497267759562842,3.497267759562842,0.0,False,False,True
70059,2.083333333333333,2.083333333333333,0.0,False,False,True
69967,2.087719298245614,2.087719298245614,0.0,False,False,True
69793,3.3958333333333335,3.3958333333333335,0.0,False,False,True
69670,2.0860215053763436,2.0860215053763436,0.0,False,False,True
69654,2.084656084656084,2.084656084656084,0.0,False,False,True
69672,2.0,2.0,0.0,False,False,True
69687,2.0866666666666664,2.0866666666666664,0.0,False,False,True
69630,2.081967213114754,2.081967213114754,0.0,False,False,True
69606,2.0793650793650795,2.0793650793650795,0.0,False,False,True
70121,3.543010752688172,3.543010752688172,0.0,False,False,True
70117,3.1830065359477127,3.1830065359477127,0.0,False,False,True
70034,2.0860215053763436,2.0860215053763436,0.0,False,False,True
70062,2.0847457627118646,2.0847457627118646,0.0,False,False,True
70033,3.446327683615819,3.446327683615819,0.0,False,False,True
70112,2.0903954802259888,2.0903954802259888,0.0,False,False,True
70114,3.5,3.5,0.0,False,False,True
70107,2.0818713450292394,2.0818713450292394,0.0,False,False,True
70135,2.0833333333333335,2.0833333333333335,0.0,False,False,True
70137,2.074712643678161,2.074712643678161,0.0,False,False,True
70133,3.083333333333333,3.083333333333333,0.0,False,False,True
70131,3.301075268817204,3.301075268817204,0.0,False,False,True
70140,3.064327485380117,3.064327485380117,0.0,False,False,True
69974,3.4731182795698925,3.4731182795698925,0.0,False,False,True
69984,2.0,2.0705128205128203,0.07051282051282026,True,False,False
69745,2.0,2.0833333333333335,0.08333333333333348,True,False,False
69830,2.0,2.087719298245614,0.08771929824561386,True,False,False
69875,3.5238095238095237,3.693121693121693,0.1693121693121693,True,False,False
69788,3.1888888888888887,3.3666666666666667,0.17777777777777803,True,False,False
70129,3.2183908045977008,3.402298850574713,0.18390804597701216,True,False,False
69842,3.333333333333333,3.833333333333333,0.5,True,False,False
69827,3.021505376344086,3.532258064516129,0.510752688172043,True,False,False
69666,2.946236559139785,3.5483870967741935,0.6021505376344085,True,False,False
69784,2.989247311827957,3.6344086021505375,0.6451612903225805,True,False,False
69624,2.083333333333333,3.0,0.916666666666667,True,False,False
69718,2.0,2.988505747126437,0.9885057471264371,True,False,False
69730,2.0,3.0,1.0,True,False,False
69991,2.084656084656084,3.2804232804232805,1.1957671957671963,True,False,False
