subject_id,intuitive_accuracy,reflective_accuracy,mean_for_int,mean_for_ref,mean_rt_int,mean_rt_ref,mean_number_models_generated_int,median_number_models_generated_int,std_number_models_generated_int,minimum_number_models_generated_int,maximum_number_models_generated_int,mean_number_models_generated_ref,median_number_models_generated_ref,std_number_models_generated_ref,minimum_number_models_generated_ref,maximum_number_models_generated_ref,mean_models_change,response_change_rate,mean_accuracy_gain,mean_confidence_change,mean_rt_change,number_of_trials,number_of_task_types,model_group_int,model_group_ref
69594,54.6875,70.3125,89.0625,91.9375,3935.8468749970193,2236.47096774655,2.0,2.0,0.0,2,2,3.6666666666666665,2.833333333333333,1.973367653069213,2,8,1.6666666666666667,28.125,0.15625,2.875,-1676.379032246528,64,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69600,90.625,98.4375,74.796875,82.390625,4447.815625000047,6991.054687499768,2.0,2.0,0.0,2,2,3.6666666666666665,2.833333333333333,1.9733676530692135,2,8,1.6666666666666667,10.9375,0.078125,7.59375,2543.2390624997215,64,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69602,63.934426229508205,83.60655737704919,65.36065573770492,81.75409836065573,5053.2885245905545,3331.546666666866,2.0,2.0,0.0,2,2,3.726775956284153,3.0,2.001395991247768,2,8,1.726775956284153,22.950819672131146,0.19672131147540983,16.39344262295082,-1698.6766666670635,61,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69606,46.03174603174603,49.2063492063492,63.15873015873016,60.61904761904762,3152.0841269840503,613.0095238093702,2.0,2.0,0.0,2,2,2.0793650793650795,2.0,0.14311293024703053,2,3,0.07936507936507939,6.349206349206349,0.031746031746031744,-2.5396825396825395,-2539.07460317468,63,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69618,54.83870967741935,54.83870967741935,49.516129032258064,50.24193548387097,4751.529032258257,3813.4299999998266,2.0,2.0,0.0,2,2,2.5161290322580645,2.6666666666666665,0.5586785715271038,2,6,0.5161290322580645,19.35483870967742,0.0,0.7258064516129032,-899.6083333338294,62,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69623,58.730158730158735,61.904761904761905,50.22222222222222,55.0,4585.799999999932,1558.6903225806268,2.0,2.0,0.0,2,2,2.084656084656084,2.0,0.1462586451600874,2,3,0.08465608465608469,6.349206349206349,0.031746031746031744,4.777777777777778,-2990.861290322527,63,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69624,48.4375,53.125,94.078125,97.109375,3715.0031249523167,2615.3063491336884,2.0,2.0,0.0,2,2,2.5,2.1666666666666665,0.6926166421990929,2,7,0.49999999999999994,7.8125,0.046875,3.03125,-1075.2904762237793,64,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69628,56.451612903225815,66.12903225806451,55.693548387096776,65.70967741935483,5446.014516134416,3986.1901639426333,2.0,2.0,0.0,2,2,2.0860215053763436,2.0,0.1470472443190053,2,3,0.08602150537634412,16.129032258064516,0.0967741935483871,10.016129032258064,-1452.4065573743142,62,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69630,45.90163934426229,47.540983606557376,49.18032786885246,49.49180327868852,4378.493442625296,517.0881355879669,2.0,2.0,0.0,2,2,2.081967213114754,2.0,0.14473139495244833,2,3,0.08196721311475413,1.639344262295082,0.01639344262295082,0.3114754098360656,-3844.1322033991255,61,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69636,87.93103448275862,98.27586206896551,49.56896551724138,75.82758620689656,4982.3448275862065,6165.625,2.0,2.0,0.0,2,2,3.6379310344827585,2.833333333333333,1.9469419043171383,2,8,1.6379310344827587,13.793103448275861,0.10344827586206896,26.25862068965517,1235.5,58,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
