subject_id,mean_number_models_generated,std_across_tasks,minimum_across_tasks,maximum_across_tasks,number_of_tasks,epsilon,lambda,omega,sigma
63873,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
63884,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
63885,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
63954,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
63969,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
63977,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
63978,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64012,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64037,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64038,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64039,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64065,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64066,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
64105,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
64116,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64123,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64159,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64189,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64222,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64250,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64258,3.3333,2.0548,2.0,6.3333,4,0.5,4.05,0.7000000000000001,0.9
64270,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64312,2.5833,0.5693,2.0,3.3333,4,0.5,4.05,0.5,0.5
64363,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64369,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64386,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64388,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64392,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64434,3.6667,2.4645,2.0,7.3333,4,0.5,4.05,0.5,0.8
64438,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64450,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
64597,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
64615,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
64652,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64685,3.6667,2.4645,2.0,7.3333,4,0.5,4.05,0.5,0.8
64695,3.3333,2.0548,2.0,6.3333,4,0.5,4.05,0.7000000000000001,0.9
64707,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64708,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64776,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64793,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64806,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64843,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
64869,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64871,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
64882,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64888,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64890,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
64919,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
64923,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
64926,2.5833,0.5693,2.0,3.3333,4,0.5,4.05,0.5,0.5
64939,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
64947,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
64973,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
64976,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
65018,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
65021,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
65028,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
65048,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
65063,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
65065,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
65071,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
65079,3.3333,2.0548,2.0,6.3333,4,0.5,4.05,0.7000000000000001,0.9
65080,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
65088,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
65112,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
65163,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
65216,3.6667,2.4645,2.0,7.3333,4,0.5,4.05,0.5,0.8
